density	pred	size	surv	propsurv
10	no	big	9	0.9000000
10	no	big	10	1.0000000
10	no	big	7	0.7000000
10	no	big	10	1.0000000
10	no	small	9	0.9000000
10	no	small	9	0.9000000
10	no	small	10	1.0000000
10	no	small	9	0.9000000
10	pred	big	4	0.4000000
10	pred	big	9	0.9000000
10	pred	big	7	0.7000000
10	pred	big	6	0.6000000
10	pred	small	7	0.7000000
10	pred	small	5	0.5000000
10	pred	small	9	0.9000000
10	pred	small	9	0.9000000
25	no	big	24	0.9600000
25	no	big	23	0.9200000
25	no	big	22	0.8800000
25	no	big	25	1.0000000
25	no	small	23	0.9200000
25	no	small	23	0.9200000
25	no	small	23	0.9200000
25	no	small	21	0.8400000
25	pred	big	6	0.2400000
25	pred	big	13	0.5200000
25	pred	big	4	0.1600000
25	pred	big	9	0.3600000
25	pred	small	13	0.5200000
25	pred	small	20	0.8000000
25	pred	small	8	0.3200000
25	pred	small	10	0.4000000
35	no	big	34	0.9714286
35	no	big	33	0.9428571
35	no	big	33	0.9428571
35	no	big	31	0.8857143
35	no	small	31	0.8857143
35	no	small	35	1.0000000
35	no	small	33	0.9428571
35	no	small	32	0.9142857
35	pred	big	4	0.1142857
35	pred	big	12	0.3428571
35	pred	big	13	0.3714286
35	pred	big	14	0.4000000
35	pred	small	22	0.6285714
35	pred	small	12	0.3428571
35	pred	small	31	0.8857143
35	pred	small	17	0.4857143
